sample	group
M1B01X1	M1
M1B01X2	M1
M1B01X3	M1
M1B02X1	M1
M1B02X2	M1
M1B02X3	M1
M1B03X1	M1
M1B03X2	M1
M1B03X3	M1
M1B04X1	M1
M1B04X2	M1
M1B04X3	M1
M1B05X1	M1
M1B05X2	M1
M1B05X3	M1
M1B06X1	M1
M1B06X2	M1
M1B06X3	M1
M1B07X1	M1
M1B07X2	M1
M1B07X3	M1
M1B08X1	M1
M1B08X2	M1
M1B08X3	M1
M1B09X1	M1
M1B09X2	M1
M1B09X3	M1
M1B10X1	M1
M1B10X2	M1
M1B10X3	M1
M1B11X1	M1
M1B11X2	M1
M1B11X3	M1
M1B12X1	M1
M1B12X2	M1
M1B12X3	M1
M1B13X1	M1
M1B13X2	M1
M1B13X3	M1
M1B14X1	M1
M1B14X2	M1
M1B14X3	M1
M1B15X1	M1
M1B15X2	M1
M1B15X3	M1
M1B16X1	M1
M1B16X2	M1
M1B16X3	M1
M1B17X1	M1
M1B17X2	M1
M1B17X3	M1
M1B18X1	M1
M1B18X2	M1
M1B18X3	M1
M1B19X1	M1
M1B19X2	M1
M1B19X3	M1
M1B20X1	M1
M1B20X2	M1
M1B20X3	M1
M1B21X1	M1
M1B21X2	M1
M1B21X3	M1
M1B22X1	M1
M1B22X2	M1
M1B22X3	M1
M1B23X1	M1
M1B23X2	M1
M1B23X3	M1
M1B24X1	M1
M1B24X2	M1
M1B24X3	M1
M1B25X1	M1
M1B25X2	M1
M1B25X3	M1
M1B26X1	M1
M1B26X2	M1
M1B26X3	M1
M1B27X1	M1
M1B27X2	M1
M1B27X3	M1
M1B28X1	M1
M1B28X2	M1
M1B28X3	M1
M1B30X1	M1
M1B30X2	M1
M1B30X3	M1
M1B31X1	M1
M1B31X2	M1
M1B31X3	M1
M1B32X1	M1
M1B32X2	M1
M1B32X3	M1
M1B33X1	M1
M1B33X2	M1
M1B33X3	M1
M1B34X1	M1
M1B34X2	M1
M1B34X3	M1
M1B35X1	M1
M1B35X2	M1
M1B35X3	M1
M1B36X1	M1
M1B36X2	M1
M1B36X3	M1
M1B37X1	M1
M1B37X2	M1
M1B37X3	M1
M1B38X1	M1
M1B38X2	M1
M1B38X3	M1
M1B39X1	M1
M1B39X2	M1
M1B39X3	M1
M1B40X1	M1
M1B40X2	M1
M1B40X3	M1
M1B41X1	M1
M1B41X2	M1
M1B41X3	M1
M1B42X1	M1
M1B42X2	M1
M1B42X3	M1
M1B43X1	M1
M1B43X2	M1
M1B43X3	M1
M1B44X1	M1
M1B44X2	M1
M1B44X3	M1
M1B45X1	M1
M1B45X2	M1
M1B45X3	M1
M1B46X1	M1
M1B46X2	M1
M1B46X3	M1
M1B47X1	M1
M1B47X2	M1
M1B47X3	M1
M1B48X1	M1
M1B48X2	M1
M1B48X3	M1
M1B49X1	M1
M1B49X2	M1
M1B49X3	M1
M2B01X1	M2
M2B01X2	M2
M2B01X3	M2
M2B02X1	M2
M2B02X2	M2
M2B02X3	M2
M2B03X1	M2
M2B03X2	M2
M2B03X3	M2
M2B04X1	M2
M2B04X2	M2
M2B04X3	M2
M2B05X1	M2
M2B05X2	M2
M2B05X3	M2
M2B06X1	M2
M2B06X2	M2
M2B06X3	M2
M2B07X1	M2
M2B07X2	M2
M2B07X3	M2
M2B08X1	M2
M2B08X2	M2
M2B08X3	M2
M2B09X1	M2
M2B09X2	M2
M2B09X3	M2
M2B10X1	M2
M2B10X2	M2
M2B10X3	M2
M2B11X1	M2
M2B11X2	M2
M2B11X3	M2
M2B12X1	M2
M2B12X2	M2
M2B12X3	M2
M2B13X1	M2
M2B13X2	M2
M2B13X3	M2
M2B14X1	M2
M2B14X2	M2
M2B14X3	M2
M2B15X1	M2
M2B15X2	M2
M2B15X3	M2
M2B16X1	M2
M2B16X2	M2
M2B16X3	M2
M2B17X1	M2
M2B17X2	M2
M2B17X3	M2
M2B18X1	M2
M2B18X2	M2
M2B18X3	M2
M2B19X1	M2
M2B19X2	M2
M2B19X3	M2
M2B20X1	M2
M2B20X2	M2
M2B20X3	M2
M2B21X1	M2
M2B21X2	M2
M2B21X3	M2
M2B22X1	M2
M2B22X2	M2
M2B22X3	M2
M2B23X1	M2
M2B23X2	M2
M2B23X3	M2
M2B24X1	M2
M2B24X2	M2
M2B24X3	M2
M2B25X1	M2
M2B25X2	M2
M2B25X3	M2
M2B26X1	M2
M2B26X2	M2
M2B26X3	M2
M2B27X1	M2
M2B27X2	M2
M2B27X3	M2
M2B28X1	M2
M2B28X2	M2
M2B28X3	M2
M2B29X1	M2
M2B29X2	M2
M2B29X3	M2
M2B30X1	M2
M2B30X2	M2
M2B30X3	M2
M2B31X1	M2
M2B31X2	M2
M2B31X3	M2
M2B32X1	M2
M2B32X2	M2
M2B32X3	M2
M2B33X1	M2
M2B33X2	M2
M2B33X3	M2
M2B34X1	M2
M2B34X2	M2
M2B34X3	M2
M2B35X1	M2
M2B35X2	M2
M2B35X3	M2
M2B36X1	M2
M2B36X2	M2
M2B36X3	M2
M2B37X1	M2
M2B37X2	M2
M2B37X3	M2
M2B38X1	M2
M2B38X2	M2
M2B38X3	M2
M2B39X1	M2
M2B39X2	M2
M2B39X3	M2
M2B40X1	M2
M2B40X2	M2
M2B40X3	M2
M2B41X1	M2
M2B41X2	M2
M2B41X3	M2
M2B42X1	M2
M2B42X2	M2
M2B42X3	M2
M2B43X1	M2
M2B43X2	M2
M2B43X3	M2
M2B44X1	M2
M2B44X2	M2
M2B44X3	M2
M2B45X1	M2
M2B45X2	M2
M2B45X3	M2
M2B46X1	M2
M2B46X2	M2
M2B46X3	M2
M2B47X1	M2
M2B47X2	M2
M2B47X3	M2
M2B48X1	M2
M2B48X2	M2
M2B48X3	M2
M2B49X1	M2
M2B49X2	M2
M2B49X3	M2
M3B01X1	M3
M3B01X2	M3
